count,date,title,description,org_link,link
23,2024-02-15 08:50:00,"테무, MASA 인증 획득… 사용자 <b>보안</b>·개인정보 보호 강화 나서",테무는 이러한 엄격한 기준을 준수함으로써 구글 플레이 스토어가 요구하는 <b>보안</b> 수준 이상으로 사용자의 <b>데이터</b> 보호를 강화해 사용자의 개인정보와 금융정보를 안전하게 지켜나갈 계획이다. 테무 관계자는... ,https://www.pointdaily.co.kr/news/articleView.html?idxno=190524,https://www.pointdaily.co.kr/news/articleView.html?idxno=190524
24,2024-02-15 08:45:00,"에이모, AI바우처·<b>데이터</b>바우처 지원사업 공급기업 6년 연속 선정","실제 에이모는 2019년부터 자율주행, <b>보안</b>, 관제, 통신, 미디어, 패션 등 누적 30여개 기업에게 고품질의 <b>데이터</b>를 제공하고 다양한 도메인에 최적화된 <b>데이터</b> 가공 작업을 성공적으로 지원해 수요기업의 약 30% 기업이... ",https://zdnet.co.kr/view/?no=20240215084411,https://n.news.naver.com/mnews/article/092/0002321324?sid=105
25,2024-02-15 08:39:00,"플래티어, 작년 매출 33.3% 줄고 적자 전환","또 지난해 획득한 공공부문 솔루션 제공에 필수 요건인 클라우드 서비스 <b>보안</b> 인증(CSAP)을 기반으로... 이커머스, <b>데이터</b> 솔루션 및 디지털 전환 영역에서 입지를 공고히 하겠다&quot;며 &quot;올해는 상장 후 이어온 R&amp;D 투자가... ",https://zdnet.co.kr/view/?no=20240215083819,https://n.news.naver.com/mnews/article/092/0002321322?sid=105
26,2024-02-15 08:34:00,"[토큰포스트 브리핑] 비트코인 시총 1조 달러, 암호화폐 전체 시총 2조 달러 ...","외신 &quot;BTC, 매도 물량 감소 국면...$55,000 이상으로 상승 가능&quot; 코인텔레그래프가 글래스노드 <b>데이터</b>를... <b>보안</b>업체 &quot;ERC 404 토큰 MINER서 취약점 발견&quot; 슬로우미스트 설립자 Cos(余弦)가 X를 통해 &quot;ERC 404 토큰 표준... ",https://www.tokenpost.kr/article-164679,https://www.tokenpost.kr/article-164679
27,2024-02-15 08:32:00,"힐셔, PLC 필요 없는 엣지 IO-Link 마스터 '센서엣지 필드' 제공","<b>데이터</b> 전송은 MQTT를 활용한다. MQTT는 자체 개방성과 높은 수용도, 1:N 통신 원리 및 <b>보안</b> 통신 등 다양한 강점을 갖다는 게 힐셔의 설명이다. 아민 백 매니저는 &quot;사용자는 센서 <b>데이터</b>를 인터넷으로 호스팅된 MQTT... ",http://www.industrynews.co.kr/news/articleView.html?idxno=52234,http://www.industrynews.co.kr/news/articleView.html?idxno=52234
28,2024-02-15 08:28:00,"미국 과학기술정책실, '중요 및 신흥기술'로 분산원장기술·디지털자산 지정","블록체인은 분산원장기술의 한 종류로, <b>데이터</b>를 블록 단위의 체인 형태로 연결해 관리하는 기술이다.... 분산원장기술과 디지털자산은 '정보 사적권리·<b>보안</b>, 사이버<b>보안</b> 기술' 하위 목록에 위치하고 있다.... ",https://www.khgames.co.kr/news/articleView.html?idxno=224616,https://www.khgames.co.kr/news/articleView.html?idxno=224616
29,2024-02-15 08:24:00,"테무, 모바일 애플리케이션 <b>보안</b> 평가 MASA 인증 획득","MASA는 최신 사이버 보안 위협으로부터 모바일 앱을 보호하도록 설계됐으며, 주요 평가 영역으로 ▲앱 내 데이터 개인정보 및 보안, ▲정보 보안을 위한 강력한 암호화 사용, ▲인터넷 전송 중 <b>데이터 보안</b>... ",https://www.klnews.co.kr/news/articleView.html?idxno=311209,https://www.klnews.co.kr/news/articleView.html?idxno=311209
30,2024-02-15 08:12:00,[엔터프라이즈핫이슈] 웹검색까지 개발?...오픈AI의 계속되는 질주,이를 통해 사용자는 에이전트에 분석을 위해 문서에 있는 <b>데이터</b>를 엑셀 같은 스프레드시트에 보내라고... 안랩은 자사 <b>보안</b> 솔루션에 네이버 초거대 AI인 '하이퍼클로바X'를 활용하는 것을 골자로 히는 양해 각서를... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505931,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505931
31,2024-02-15 07:58:00,결제 메커니즘 변화에 경쟁력 확보 나선 은행권,"신한은행(은 <b>데이터</b> API 전문기업인 하이픈코퍼레이션과 업무협약을 체결하고 △외환(Foreign Exchange)... 경쟁우위 강화를 위해 핵심 가치 보존, 금융<b>보안</b> 강화 및 민첩한 의사결정 등이 요구된다&quot;고 밝혔다.",http://www.hansbiz.co.kr/news/articleView.html?idxno=680559,http://www.hansbiz.co.kr/news/articleView.html?idxno=680559
32,2024-02-15 07:35:00,"구글, 구형 윈도 기기에 크롬OS 자동 업데이트 허용",그러나 구글의 조치에 따라 크롬OS Flex가 정기적인 <b>보안</b> 업데이트와 <b>데이터</b> 암호화와 같은 기능을 계속 수신해 사용자가 윈도 10을 계속 사용할 수 있게 됐습니다. 구글은 크롬OS가 <b>데이터</b> 센터에서 앱을 실행함으로써... ,https://biz.sbs.co.kr/article_hub/20000157021?division=NAVER,https://n.news.naver.com/mnews/article/374/0000370515?sid=104
